4443  4482 I GGUFNativeStderr: tensor blk.20.attn_output.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.20.attn_output.bias
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.20.ffn_norm.weight
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: tensor blk.20.ffn_norm.weight (0 MiB f32) buffer type overridden to Vulkan0
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor rope_freqs.weight
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.20.ffn_gate.weight
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: tensor blk.20.ffn_gate.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.20.ffn_down.weight
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: tensor blk.20.ffn_down.weight (0 MiB q4_K) buffer type overridden to Vulkan0
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.20.ffn_up.weight
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: tensor blk.20.ffn_up.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.20.ffn_gate.bias
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.20.ffn_down.bias
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.20.ffn_up.bias
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.21.attn_norm.weight
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: tensor blk.21.attn_norm.weight (0 MiB f32) buffer type overridden to Vulkan0
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.21.attn_qkv.weight
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.21.attn_q.weight
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: tensor blk.21.attn_q.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.21.attn_k.weight
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: tensor blk.21.attn_k.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.21.attn_v.weight
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: tensor blk.21.attn_v.weight (0 MiB q8_0) buffer type overridden to Vulkan0
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.21.attn_q.bias
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.21.attn_k.bias
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.21.attn_v.bias
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.21.attn_output.weight
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: tensor blk.21.attn_output.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.21.attn_output.bias
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.21.ffn_norm.weight
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: tensor blk.21.ffn_norm.weight (0 MiB f32) buffer type overridden to Vulkan0
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor rope_freqs.weight
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.21.ffn_gate.weight
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: tensor blk.21.ffn_gate.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.21.ffn_down.weight
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: tensor blk.21.ffn_down.weight (0 MiB q6_K) buffer type overridden to Vulkan0
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.21.ffn_up.weight
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: tensor blk.21.ffn_up.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.21.ffn_gate.bias
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.21.ffn_down.bias
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.21.ffn_up.bias
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.22.attn_norm.weight
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: tensor blk.22.attn_norm.weight (0 MiB f32) buffer type overridden to Vulkan0
09-19 20:14:58.982  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.22.attn_qkv.weight
