44128, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.852  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1262]: n_dims = 1, name = a.blk.8.attn_k.input_min, tensor_size=4, offset=2973644160, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1263]: n_dims = 2, name = a.blk.8.attn_k.weight, tensor_size=2097152, offset=2973644192, shape:[1024, 1024, 1, 1], type = f16
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1264]: n_dims = 1, name = a.blk.8.attn_k.output_max, tensor_size=4, offset=2975741344, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1265]: n_dims = 1, name = a.blk.8.attn_k.output_min, tensor_size=4, offset=2975741376, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1266]: n_dims = 1, name = a.blk.8.per_dim_scale.weight, tensor_size=512, offset=2975741408, shape:[128, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1267]: n_dims = 1, name = a.blk.8.attn_out.input_max, tensor_size=4, offset=2975741920, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1268]: n_dims = 1, name = a.blk.8.attn_out.input_min, tensor_size=4, offset=2975741952, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1269]: n_dims = 2, name = a.blk.8.attn_out.weight, tensor_size=2097152, offset=2975741984, shape:[1024, 1024, 1, 1], type = f16
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1270]: n_dims = 1, name = a.blk.8.attn_out.output_max, tensor_size=4, offset=2977839136, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1271]: n_dims = 1, name = a.blk.8.attn_out.output_min, tensor_size=4, offset=2977839168, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1272]: n_dims = 1, name = a.blk.8.attn_q.input_max, tensor_size=4, offset=2977839200, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1273]: n_dims = 1, name = a.blk.8.attn_q.input_min, tensor_size=4, offset=2977839232, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1274]: n_dims = 2, name = a.blk.8.attn_q.weight, tensor_size=2097152, offset=2977839264, shape:[1024, 1024, 1, 1], type = f16
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1275]: n_dims = 1, name = a.blk.8.attn_q.output_max, tensor_size=4, offset=2979936416, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1276]: n_dims = 1, name = a.blk.8.attn_q.output_min, tensor_size=4, offset=2979936448, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1277]: n_dims = 2, name = a.blk.8.attn_k_rel.weight, tensor_size=2097152, offset=2979936480, shape:[1024, 1024, 1, 1], type = f16
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1278]: n_dims = 1, name = a.blk.8.attn_v.input_max, tensor_size=4, offset=2982033632, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1279]: n_dims = 1, name = a.blk.8.attn_v.input_min, tensor_size=4, offset=2982033664, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1280]: n_dims = 2, name = a.blk.8.attn_v.weight, tensor_size=2097152, offset=2982033696, shape:[1024, 1024, 1, 1], type = f16
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1281]: n_dims = 1, name = a.blk.8.attn_v.output_max, tensor_size=4, offset=2984130848, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1282]: n_dims = 1, name = a.blk.8.attn_v.output_min, tensor_size=4, offset=2984130880, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1283]: n_dims = 1, name = a.blk.9.ffn_up.input_max, tensor_size=4, offset=2984130912, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1284]: n_dims = 1, name = a.blk.9.ffn_up.input_min, tensor_size=4, offset=2984130944, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1285]: n_dims = 2, name = a.blk.9.ffn_up.weight, tensor_size=8388608, offset=2984130976, shape:[1024, 4096, 1, 1], type = f16
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1286]: n_dims = 1, name = a.blk.9.ffn_up.output_max, tensor_size=4, offset=2992519584, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1287]: n_dims = 1, name = a.blk.9.ffn_up.output_min, tensor_size=4, offset=2992519616, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1288]: n_dims = 1, name = a.blk.9.ffn_down.input_max, tensor_size=4, offset=2992519648, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1289]: n_dims = 1, name = a.blk.9.ffn_down.input_min, tensor_size=4, offset=2992519680, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1290]: n_dims = 2, name = a.blk.9.ffn_down.weight, tensor_size=8388608, offset=2992519712, shape:[4096, 1024, 1, 1], type = f16
